cam_sat,cam_tca,cam_dv_ms,num_degraded_crossings,num_unique_neighbors,worst_dist_km,worst_degradation_km,mean_degradation_km
479,638569.32,0.0531,1,1,23.213929,0.334141,0.334141
480,1922308.98,0.1967,2,2,22.574362,969.933178,485.452891
483,943280.25,0.2885,1,1,4.290150,1.168528,1.168528
483,1736070.63,0.2615,1,1,21.360581,2.189769,2.189769
489,252150.34,0.0910,1,1,5.455788,0.003246,0.003246
492,2219435.69,0.0189,1,1,5.285370,0.173880,0.173880
494,2587729.52,0.1112,1,1,22.934574,0.613922,0.613922
495,537864.73,0.0461,1,1,4.851740,0.607420,0.607420
496,1228764.96,0.1814,1,1,5.008471,0.452751,0.452751
497,2077954.76,0.1340,1,1,18.556937,0.199407,0.199407
501,1905429.10,0.1335,1,1,22.649136,0.899622,0.899622
507,1360770.10,0.1840,2,1,3.955292,1.503579,0.986138
509,1492935.14,0.1820,1,1,2.784121,2.675670,2.675670
512,1360054.52,0.0391,1,1,5.253422,0.205338,0.205338
515,459295.72,0.0200,1,1,5.322465,0.135665,0.135665
516,591500.66,0.3062,1,1,5.303329,0.155008,0.155008
519,1030751.17,0.2638,2,2,18.240001,969.308082,484.908771
520,522240.94,0.0482,1,1,5.307536,0.151193,0.151193
520,536290.92,0.2128,2,2,18.242242,969.687663,485.094888
520,1198528.98,0.0142,1,1,23.437553,0.108810,0.108810
524,1737645.10,0.2810,2,2,3.870528,1.588387,1.077278
525,1100065.18,0.0538,1,1,23.520039,0.028693,0.028693
527,1296999.20,0.0185,1,1,0.905309,0.020089,0.020089
532,552503.65,0.2487,1,1,3.958572,1.499868,1.499868
532,2007504.19,0.0754,1,1,22.694866,0.852490,0.852490
533,296959.97,0.3077,2,1,4.573512,0.885840,0.481686
535,1598250.45,0.1267,1,1,4.789762,0.668575,0.668575
538,639424.68,0.1541,1,1,5.255549,0.203547,0.203547
539,1527968.27,0.1776,1,1,2.557819,2.900633,2.900633
542,2352175.08,0.1809,2,2,22.518973,970.324969,485.678519
543,253080.21,0.1779,2,1,4.782638,0.675544,0.507231
546,513950.15,0.0513,1,1,5.147060,0.312211,0.312211
550,1177220.34,0.1330,2,2,5.170694,1.286684,0.787287
550,2167804.35,0.0964,1,1,4.689042,0.769543,0.769543
552,372805.32,0.0539,1,1,22.993200,0.557440,0.557440
552,1159585.16,0.2294,3,2,23.525668,969.293908,646.174234
553,2384279.80,0.0312,1,1,23.545136,0.014757,0.014757
554,555524.69,0.0678,1,1,4.737950,0.720274,0.720274
560,97288.96,0.3293,1,1,5.301961,0.157454,0.157454
560,2064418.71,0.1693,1,1,3.258120,2.201295,2.201295
