time_s,cam_sat,cam_tca,neighbor_sat,perturbed_dist_km,baseline_dist_km,degradation_km
2339370,576,2342609.69,271,10.934858,11.522707,0.587849
1490190,824,1494364.61,519,10.947476,11.523807,0.576331
1088370,190,1092601.06,1468,10.986223,11.522741,0.536518
1486380,245,1491014.97,1523,10.995430,11.544365,0.548935
1540170,830,1543634.76,525,11.007787,11.521394,0.513607
2129670,1491,2134971.57,1186,11.011177,11.530399,0.519222
456690,1164,462654.28,837,11.015214,11.526212,0.510998
1226640,1506,1227019.26,1201,11.015448,11.527266,0.511818
973530,455,974159.56,150,11.021878,11.525338,0.503460
163290,1301,166421.31,996,11.028179,11.534039,0.505860
2149740,1326,2154110.11,1021,11.030082,11.525372,0.495290
1661910,1352,1667094.71,1047,11.037385,11.537924,0.500539
1374810,1201,1383760.37,896,11.042302,11.531321,0.489019
2188020,1245,2194464.43,940,11.046654,11.530774,0.484120
201060,1156,205216.51,851,11.051838,11.527478,0.475640
210240,747,212891.08,420,11.052517,11.539270,0.486753
1159440,159,1167855.33,1437,11.056758,11.522071,0.465313
95970,702,96664.25,375,11.057467,11.520626,0.463159
2198880,104,2199754.24,1382,11.059703,11.527862,0.468159
961800,544,968375.10,239,11.076361,11.528261,0.451900
428070,1076,436279.92,749,11.081119,11.523698,0.442579
391590,1282,397785.38,977,11.082764,11.520705,0.437941
821640,1214,825670.15,909,11.083760,11.520684,0.436924
2184570,49,2187595.53,1327,11.099652,11.536926,0.437274
2095920,939,2100414.23,634,11.102159,11.521046,0.418887
68340,918,72946.52,613,11.102461,11.524284,0.421823
41310,648,45034.66,343,11.103225,11.522708,0.419483
2115150,1129,2115839.82,824,11.109165,11.525003,0.415838
1971660,1482,1978044.67,1177,11.110956,11.524300,0.413344
1820910,82,1824858.67,1360,11.111992,11.551534,0.439542
860130,1440,860240.10,1135,11.130584,11.522368,0.391784
1505490,1183,1505953.76,878,11.136127,11.528744,0.392617
760260,900,769534.42,573,11.144872,11.530003,0.385131
847950,1113,853185.84,808,11.145142,11.525844,0.380702
379590,1438,384241.96,1133,11.153225,11.526071,0.372846
2155080,514,2157559.58,209,11.154527,11.524816,0.370289
2198910,1511,2206196.00,1206,11.155004,11.521856,0.366852
1889970,1202,1893589.99,897,11.156280,11.545176,0.388896
2447670,512,2454891.39,207,11.157018,11.561017,0.403999
740700,1107,746975.30,802,11.161022,11.522019,0.360997
1468830,906,1473325.02,601,11.165298,11.522335,0.357037
614310,361,619204.81,56,11.172952,11.522675,0.349723
1212960,811,1219854.52,484,11.176010,11.523331,0.347321
2171700,758,2178490.41,453,11.184927,11.521250,0.336323
2055510,1314,2064396.10,1009,11.199635,11.523550,0.323915
1569510,1289,1569854.32,984,11.228644,11.531204,0.302560
1640250,94,1643689.52,1372,11.233630,11.524155,0.290525
616530,1100,626059.48,795,11.236062,11.525741,0.289679
616530,1100,627944.49,795,11.236062,11.525741,0.289679
2174430,1583,2176814.79,1256,11.236961,11.521908,0.284947
61590,812,69109.72,485,11.238256,11.523191,0.284935
2207190,226,2207488.21,1504,11.241979,11.525050,0.283071
1946190,1250,1953004.70,945,11.254146,11.566260,0.312114
1508130,953,1515624.75,648,11.254450,11.524781,0.270331
627030,576,628100.32,271,11.259133,11.522707,0.263574
1765710,162,1771902.67,1440,11.266162,11.522510,0.256348
927750,235,937230.56,1513,11.267980,11.524423,0.256443
420810,884,428853.99,579,11.286554,11.521877,0.235323
910020,413,915054.56,108,11.298776,11.522356,0.223580
1314240,686,1320410.15,381,11.299315,11.524310,0.224995
1797540,1315,1806399.88,1010,11.304363,11.532973,0.228610
871200,606,878091.00,301,11.317429,11.535235,0.217806
2343000,672,2349285.75,367,11.317685,11.522734,0.205049
1343880,902,1348870.09,597,11.318529,11.527175,0.208646
1688730,1315,1694725.22,1010,11.320122,11.532973,0.212851
712080,1019,722810.94,714,11.320275,11.524313,0.204038
1997790,898,1999130.07,593,11.321513,11.521111,0.199598
2174730,1340,2181789.78,1013,11.324260,11.530746,0.206486
1411290,973,1419666.18,668,11.325014,11.526451,0.201437
1186350,1155,1191880.30,850,11.328403,11.524800,0.196397
573480,122,576205.69,1400,11.329588,11.530528,0.200940
1716330,1275,1723639.21,948,11.333549,11.524199,0.190650
70650,1107,74049.22,802,11.355662,11.522019,0.166357
1643730,1092,1644174.81,787,11.370813,11.525929,0.155116
1617870,48,1626703.29,1326,11.371255,11.523712,0.152457
963240,1286,964194.90,981,11.378279,11.525185,0.146906
1417320,708,1421139.08,403,11.382038,11.541832,0.159794
2203530,328,2208364.95,1,11.389091,11.522112,0.133021
1592580,299,1602290.22,1577,11.403515,11.521156,0.117641
1791600,1030,1800664.62,725,11.413146,11.553458,0.140312
904140,1337,907245.47,1032,11.435241,11.527195,0.091954
112200,134,118805.68,1412,11.437113,11.520878,0.083765
2098020,821,2106774.60,516,11.437143,11.524313,0.087170
1934100,373,1941824.58,46,11.441452,11.526000,0.084548
1326750,594,1333029.77,289,11.442670,11.534934,0.092264
2480130,1003,2490154.86,698,11.465476,11.527353,0.061877
694530,97,704010.57,1375,11.474642,11.524617,0.049975
390450,297,394340.13,1575,11.476729,11.521370,0.044641
331710,1336,342099.91,1031,11.479270,11.523054,0.043784
2252520,8,2260680.66,1286,11.481921,11.533050,0.051129
866670,1239,877044.04,934,11.491149,11.525944,0.034795
2068530,1286,2075699.99,981,11.502115,11.525185,0.023070
261150,1409,271839.41,1104,11.502473,11.520948,0.018475
187380,461,196884.70,134,11.503073,11.541026,0.037953
540150,184,542880.61,1462,11.503288,11.522602,0.019314
735630,269,735873.99,1547,11.522156,11.536126,0.013970
774450,976,775364.87,454,11.701675,15.140055,3.438380
1685190,1569,1686109.56,1047,12.572453,15.138169,2.565716
1841370,24,1843131.03,1085,12.592883,15.137741,2.544858
2051790,1085,2052489.43,563,12.672884,15.143009,2.470125
328470,1347,329258.42,825,12.918669,15.162526,2.243857
1732050,1543,1732640.74,1021,13.080543,15.140799,2.060256
2431260,1475,2432048.70,953,13.155105,15.151016,1.995911
2471550,243,2471750.75,1304,13.249477,15.174031,1.924554
1068540,1364,1069039.69,842,13.317304,15.154971,1.837667
1183620,1252,1187215.72,708,13.329522,15.141010,1.811488
1724790,1373,1731519.77,851,13.405253,15.139130,1.733877
54420,970,55160.83,448,13.459865,15.144609,1.684744
2184900,530,2187705.49,8,13.647073,15.139031,1.491958
1285110,1434,1291572.45,912,13.665692,15.139916,1.474224
463830,1377,466534.47,855,13.763685,15.142616,1.378931
50910,170,53360.18,1231,13.782121,15.166982,1.384861
203790,1276,207389.82,754,13.815541,15.169833,1.354292
1570290,603,1571900.60,81,13.878625,15.144738,1.266113
68850,299,70404.18,1360,13.939216,15.142246,1.203030
482190,537,482201.12,15,13.957539,15.139989,1.182450
2578590,1525,2579099.74,1003,13.962421,15.144285,1.181864
922200,57,922868.61,1118,14.001676,15.141233,1.139557
1670280,439,1674639.46,1478,14.005624,15.145042,1.139418
1103520,790,1104165.33,246,14.055097,15.137371,1.082274
840780,1293,844339.41,749,14.064653,15.157061,1.092408
723450,842,726474.03,320,14.064779,15.144872,1.080093
1269780,1273,1270064.09,729,14.090891,15.145179,1.054288
1564560,625,1570580.12,103,14.105617,15.144501,1.038884
55740,877,57938.43,333,14.123436,15.137411,1.013975
1299510,939,1303215.69,417,14.138803,15.149348,1.010545
2312760,259,2313859.21,1298,14.167269,15.146861,0.979592
2036250,595,2040060.94,73,14.185199,15.150125,0.964926
1779510,1053,1784549.08,509,14.206726,15.148203,0.941477
2285550,1089,2292279.57,567,14.246196,15.146190,0.899994
2241120,578,2242239.74,56,14.247496,15.162353,0.914857
737970,1204,745903.45,660,14.293214,15.139724,0.846510
1559220,1437,1564594.74,915,14.299017,15.158826,0.859809
93750,841,97311.54,319,14.305149,15.148285,0.843136
58560,1130,63123.77,608,14.313589,15.148890,0.835301
1122360,190,1126044.53,1251,14.319896,15.142558,0.822662
1346160,606,1346902.65,84,14.320441,15.154849,0.834408
545070,1241,545884.65,719,14.383848,15.140609,0.756761
1322190,742,1329332.38,198,14.390018,15.137598,0.747580
1812060,972,1815870.01,450,14.395898,15.144243,0.748345
1361610,63,1363690.48,1102,14.459024,15.152574,0.693550
1737690,488,1745244.78,1549,14.490746,15.151689,0.660943
1685790,1083,1692849.65,561,14.546711,15.142187,0.595476
2326380,1328,2332504.93,806,14.598704,15.149042,0.550338
525720,194,532860.00,1233,14.598814,15.171941,0.573127
1017960,283,1018990.04,1322,14.609925,15.148722,0.538797
2261880,982,2268395.40,460,14.619991,15.190584,0.570593
1062600,1079,1066175.78,557,14.625180,15.148528,0.523348
1273530,621,1277854.12,99,14.637051,15.137010,0.499959
1193910,399,1199754.47,1460,14.647588,15.141784,0.494196
1616670,337,1619804.60,1398,14.662257,15.142601,0.480344
379770,1238,383554.61,716,14.672516,15.140694,0.468178
2209680,237,2213851.18,1276,14.672960,15.137887,0.464927
309330,607,316250.96,85,14.682593,15.140396,0.457803
2010870,1396,2019499.69,874,14.697716,15.140397,0.442681
950220,631,957126.41,109,14.722308,15.141835,0.419527
429270,1004,437949.62,482,14.723487,15.147947,0.424460
2137140,1285,2147110.17,763,14.724220,15.153002,0.428782
1962720,1361,1963308.91,817,14.739910,15.171052,0.431142
2261670,675,2268810.09,153,14.758231,15.152467,0.394236
1335510,471,1343869.41,1532,14.784791,15.164303,0.379512
917580,1240,925644.66,718,14.786899,15.143520,0.356621
2101350,477,2102139.74,1538,14.794898,15.140702,0.345804
1014420,1220,1022540.24,698,14.812069,15.147235,0.335166
2274780,97,2275175.68,1158,14.833952,15.163748,0.329796
2048970,832,2055484.97,288,14.838119,15.142122,0.304003
1940130,1008,1949924.50,464,14.854415,15.137029,0.282614
1862340,735,1864860.37,213,14.884188,15.154500,0.270312
1377030,1257,1377970.29,735,14.891901,15.165713,0.273812
1212750,1404,1220080.34,860,14.900957,15.154255,0.253298
2000400,161,2004019.91,1222,14.910872,15.141555,0.230683
307620,1515,315939.30,971,14.911639,15.138244,0.226605
493770,1350,503091.42,828,14.912065,15.137832,0.225767
1196940,981,1197445.93,459,14.918088,15.165616,0.247528
2052300,1149,2053640.48,627,14.923188,15.140891,0.217703
282930,1258,288645.58,736,14.925864,15.140072,0.214208
1833420,890,1838159.88,368,14.938288,15.184537,0.246249
2522250,620,2530384.27,98,14.947827,15.146920,0.199093
700080,492,707360.06,1553,14.961164,15.145780,0.184616
87780,732,97238.89,210,14.961573,15.139185,0.177612
263760,694,264949.21,172,14.965495,15.145181,0.179686
2178540,1214,2184964.90,692,14.987209,15.150565,0.163356
1632390,1310,1639610.39,788,14.987839,15.150715,0.162876
878370,643,886624.84,121,15.011325,15.144206,0.132881
2008050,1143,2017284.02,599,15.013422,15.146772,0.133350
1211250,1014,1212515.06,492,15.016548,15.159567,0.143019
2398620,523,2407959.69,1562,15.020812,15.137038,0.116226
2398620,523,2410020.10,1562,15.020812,15.137038,0.116226
2497260,628,2498265.36,106,15.028103,15.145694,0.117591
734970,446,735725.41,1507,15.030554,15.144604,0.114050
1891770,644,1895619.25,122,15.033477,15.138682,0.105205
876150,1487,885928.94,965,15.034388,15.149643,0.115255
1464990,1425,1470984.28,881,15.042387,15.143072,0.100685
1150380,764,1157925.53,220,15.044658,15.153521,0.108863
640020,63,650110.33,1102,15.054314,15.152574,0.098260
532980,364,542325.48,1425,15.054967,15.149229,0.094262
2139060,684,2141805.65,162,15.064994,15.140405,0.075411
