obj_i,obj_j,miss_km,Pc,dv_ms,type,tca,cam_sat_idx
72,4033,4.544590,3.934005e-28,0.0000,sat-debris,218569.903562,72
33,3548,2.176618,3.743975e-28,0.0000,sat-debris,152189.582525,33
39,4969,2.751411,3.522214e-28,0.0000,sat-debris,58115.154153,39
18,4114,7.817718,3.163811e-28,0.0000,sat-debris,41850.113437,18
95,10658,3.478599,2.598146e-28,0.0000,sat-debris,94234.788027,95
64,4607,3.133212,2.261245e-28,0.0000,sat-debris,238304.451646,64
40,4277,4.063043,2.257983e-28,0.0000,sat-debris,241455.809735,40
90,5020,2.378353,2.109597e-28,0.0000,sat-debris,69799.481901,90
98,3943,2.472860,1.760322e-28,0.0000,sat-debris,413749.090888,98
6,4663,3.367067,1.590528e-28,0.0000,sat-debris,60239.648569,6
20,4670,3.189786,1.541866e-28,0.0000,sat-debris,5304.532172,20
52,3701,2.215506,1.307756e-28,0.0000,sat-debris,147249.584362,52
89,4437,3.839940,1.225395e-28,0.0000,sat-debris,86994.490471,89
85,3963,4.137528,1.194742e-28,0.0000,sat-debris,146555.325858,85
59,4197,2.230113,1.143298e-28,0.0000,sat-debris,344380.151612,59
3,3619,2.191026,9.044740e-29,0.0000,sat-debris,125364.927396,3
56,4969,2.420397,7.587350e-29,0.0000,sat-debris,356615.111668,56
43,10655,3.729267,6.667714e-29,0.0000,sat-debris,64209.780248,43
17,8959,5.475395,6.455214e-29,0.0000,sat-debris,335059.425911,17
56,3936,2.778346,5.089656e-29,0.0000,sat-debris,71690.141677,56
15,1499,2.383248,4.486925e-29,0.0000,sat-debris,360370.145898,15
34,3534,2.406480,4.354799e-29,0.0000,sat-debris,128819.318072,34
74,3876,4.093024,3.851541e-29,0.0000,sat-debris,146224.905931,74
99,4114,7.300028,3.832406e-29,0.0000,sat-debris,118640.729940,99
96,4301,2.309177,3.564817e-29,0.0000,sat-debris,367549.234979,96
99,3666,2.416167,3.275446e-29,0.0000,sat-debris,87416.961305,99
14,4125,3.840869,2.943413e-29,0.0000,sat-debris,61115.616979,14
67,8023,2.214948,2.896426e-29,0.0000,sat-debris,135465.668876,67
84,4152,3.343564,2.613688e-29,0.0000,sat-debris,129470.675563,84
98,4148,4.522805,2.521473e-29,0.0000,sat-debris,201129.487716,98
56,4215,3.276281,2.473468e-29,0.0000,sat-debris,88270.720577,56
58,4216,3.528328,2.176002e-29,0.0000,sat-debris,396379.761336,58
17,4089,5.404083,1.992229e-29,0.0000,sat-debris,346039.340440,17
42,7744,2.272707,1.908189e-29,0.0000,sat-debris,241364.488575,42
8,13124,8.517623,1.638218e-29,0.0000,sat-debris,368250.374664,8
41,4385,3.040440,1.230700e-29,0.0000,sat-debris,247265.121172,41
48,3653,2.988128,1.178320e-29,0.0000,sat-debris,132130.731863,48
32,4878,3.102358,1.054087e-29,0.0000,sat-debris,308199.640261,32
97,3421,2.722180,1.046367e-29,0.0000,sat-debris,93694.577522,97
29,3726,2.236097,8.940568e-30,0.0000,sat-debris,24314.744312,29
26,13752,3.640487,8.291557e-30,0.0000,sat-debris,176344.367207,26
95,4392,2.241328,8.267841e-30,0.0000,sat-debris,133859.576600,95
11,3623,3.526756,6.077816e-30,0.0000,sat-debris,235094.981636,11
84,3558,3.433220,4.713069e-30,0.0000,sat-debris,4019.279605,84
96,3555,2.283806,4.515266e-30,0.0000,sat-debris,54320.700007,96
6,11771,2.616298,4.134151e-30,0.0000,sat-debris,247174.829398,6
89,4596,2.271057,3.379797e-30,0.0000,sat-debris,400509.836996,89
92,8594,2.463994,3.319667e-30,0.0000,sat-debris,16239.766704,92
62,4159,3.229040,2.955050e-30,0.0000,sat-debris,303151.006538,62
9,4832,4.917337,2.940358e-30,0.0000,sat-debris,333795.206151,9
35,4083,6.754173,2.868597e-30,0.0000,sat-debris,300435.124909,35
42,4089,4.930721,2.863459e-30,0.0000,sat-debris,66844.240273,42
17,4731,2.851261,2.315435e-30,0.0000,sat-debris,334284.633668,17
95,1689,3.591278,2.291889e-30,0.0000,sat-debris,222894.677646,95
15,4046,4.320921,2.057041e-30,0.0000,sat-debris,405665.434264,15
23,1315,2.876658,2.030374e-30,0.0000,sat-debris,211088.906723,23
40,6521,6.502895,2.029516e-30,0.0000,sat-debris,203679.281775,40
44,3615,2.863007,2.008913e-30,0.0000,sat-debris,31450.229750,44
70,4777,2.388382,1.575353e-30,0.0000,sat-debris,233089.732997,70
82,3873,3.520196,1.572971e-30,0.0000,sat-debris,387390.345732,82
31,4851,3.844136,1.556931e-30,0.0000,sat-debris,354824.913218,31
14,1137,2.711549,1.523058e-30,0.0000,sat-debris,352220.251252,14
37,5023,2.284538,1.319739e-30,0.0000,sat-debris,242519.650940,37
64,3623,2.295152,1.196687e-30,0.0000,sat-debris,288479.943093,64
24,3436,4.213790,9.162234e-31,0.0000,sat-debris,106164.697130,24
79,4024,2.824900,9.151759e-31,0.0000,sat-debris,303584.258901,79
51,4976,2.293795,8.882291e-31,0.0000,sat-debris,308110.266703,51
16,4721,5.030453,8.513369e-31,0.0000,sat-debris,248895.632398,16
35,4956,2.507946,8.466078e-31,0.0000,sat-debris,3389.865651,35
46,4820,2.300219,7.859882e-31,0.0000,sat-debris,373980.202943,46
50,3494,4.208598,5.811787e-31,0.0000,sat-debris,230098.964116,50
84,4900,2.313362,5.135388e-31,0.0000,sat-debris,67074.998651,84
93,4277,2.390600,4.982847e-31,0.0000,sat-debris,48650.390509,93
84,4132,4.981893,4.979549e-31,0.0000,sat-debris,186845.153346,84
95,10659,3.011685,4.778640e-31,0.0000,sat-debris,31151.082735,95
43,4814,2.298009,4.583372e-31,0.0000,sat-debris,180984.982029,43
48,4883,3.083458,4.410371e-31,0.0000,sat-debris,126639.662743,48
47,3992,2.814424,4.355322e-31,0.0000,sat-debris,311808.888324,47
33,4906,3.072817,4.128328e-31,0.0000,sat-debris,421119.754065,33
36,4834,3.959572,3.418473e-31,0.0000,sat-debris,317104.822359,36
46,4859,2.974271,3.384279e-31,0.0000,sat-debris,316970.469736,46
15,4766,3.757227,3.366280e-31,0.0000,sat-debris,226960.497886,15
51,8603,5.738052,2.961949e-31,0.0000,sat-debris,32500.250657,51
23,3970,2.602211,2.692702e-31,0.0000,sat-debris,83384.573040,23
82,4078,2.951015,2.461250e-31,0.0000,sat-debris,422389.913541,82
73,4648,5.827828,2.448884e-31,0.0000,sat-debris,340012.600327,73
52,4977,3.633280,2.371234e-31,0.0000,sat-debris,170089.878996,52
17,9140,3.212196,2.370054e-31,0.0000,sat-debris,51025.300368,17
92,2620,3.387289,2.313306e-31,0.0000,sat-debris,88727.761350,92
59,4220,3.705525,2.172577e-31,0.0000,sat-debris,269814.259146,59
39,5132,2.479461,2.113613e-31,0.0000,sat-debris,425324.498350,39
82,3752,3.117888,1.739029e-31,0.0000,sat-debris,180685.602503,82
25,4731,3.811482,1.439588e-31,0.0000,sat-debris,48575.511846,25
85,4295,2.325868,1.412203e-31,0.0000,sat-debris,236830.180455,85
4,3475,5.266703,1.364198e-31,0.0000,sat-debris,321059.467068,4
75,4824,2.353650,1.243235e-31,0.0000,sat-debris,362051.368540,75
68,4198,4.914955,1.146919e-31,0.0000,sat-debris,332994.453100,68
12,4803,2.980132,1.107654e-31,0.0000,sat-debris,217375.539527,12
