sat_i,sat_j,min_dist_km
80,1554,0.797518
125,234,0.797526
1090,1199,0.797533
1239,1348,0.797539
32,1506,0.797542
66,197,0.797558
793,902,0.797558
88,219,0.797563
395,504,0.797566
584,693,0.797568
1299,1408,0.797574
809,918,0.797576
22,153,0.797580
1135,1244,0.797591
344,453,0.797599
620,729,0.797612
38,147,0.797616
64,173,0.797619
1214,1323,0.797620
954,1063,0.797621
1296,1405,0.797622
844,953,0.797623
116,225,0.797645
1314,1423,0.797652
345,454,0.797661
1470,1579,0.797661
911,1020,0.797662
920,1029,0.797664
292,401,0.797672
266,375,0.797679
579,688,0.797683
771,880,0.797683
1206,1315,0.797687
1098,1207,0.797691
623,732,0.797702
48,1522,0.797713
801,910,0.797714
1423,1532,0.797716
450,559,0.797718
21,1495,0.797731
642,751,0.797746
45,1519,0.797758
104,1578,0.797760
28,1502,0.797761
83,192,0.797761
75,184,0.797765
731,840,0.797767
715,824,0.797779
510,619,0.797780
399,508,0.797780
680,789,0.797782
865,974,0.797789
369,478,0.797792
829,938,0.797798
563,672,0.797804
748,879,0.797808
1375,1484,0.797813
7,1481,0.797814
148,257,0.797821
1111,1220,0.797824
47,156,0.797827
1102,1211,0.797827
813,922,0.797831
651,760,0.797837
505,614,0.797846
976,1085,0.797853
1058,1167,0.797853
1075,1184,0.797859
91,200,0.797861
441,550,0.797866
1121,1230,0.797880
1140,1249,0.797880
1323,1432,0.797889
127,236,0.797892
1275,1384,0.797899
1466,1575,0.797904
97,1571,0.797907
876,985,0.797915
817,926,0.797918
1244,1353,0.797919
516,625,0.797926
92,1566,0.797942
1187,1296,0.797948
724,833,0.797961
1331,1440,0.797962
1355,1464,0.797976
612,721,0.797979
205,314,0.797984
255,364,0.797984
484,615,0.797990
900,1009,0.798001
521,630,0.798001
956,1065,0.798004
86,1560,0.798019
1219,1328,0.798028
225,334,0.798030
1376,1485,0.798033
36,145,0.798044
1277,1386,0.798049
1452,1583,0.798061
206,315,0.798081
283,392,0.798081
1262,1371,0.798082
1429,1538,0.798083
962,1071,0.798087
1401,1510,0.798092
76,1550,0.798095
337,446,0.798098
703,812,0.798098
1052,1161,0.798116
761,870,0.798116
1458,1567,0.798121
922,1031,0.798122
826,935,0.798132
217,326,0.798134
609,718,0.798139
496,605,0.798201
1208,1317,0.798202
381,490,0.798210
269,378,0.798221
1101,1210,0.798226
1205,1314,0.798229
892,1001,0.798239
197,306,0.798245
386,495,0.798247
948,1057,0.798248
1083,1192,0.798252
1047,1156,0.798272
226,335,0.798276
154,285,0.798277
6,115,0.798279
532,641,0.798281
1193,1302,0.798289
1348,1457,0.798289
86,195,0.798294
366,475,0.798294
416,525,0.798313
391,500,0.798323
284,393,0.798329
466,575,0.798342
1260,1369,0.798347
1250,1359,0.798363
1468,1577,0.798375
843,952,0.798375
290,399,0.798378
228,337,0.798379
874,983,0.798390
849,958,0.798404
567,676,0.798425
729,838,0.798433
1039,1148,0.798434
859,968,0.798453
98,207,0.798461
96,1570,0.798462
1247,1356,0.798477
971,1080,0.798488
798,907,0.798501
293,402,0.798504
1319,1428,0.798514
1233,1342,0.798530
672,781,0.798537
591,700,0.798544
720,829,0.798546
1103,1212,0.798550
1345,1454,0.798579
1194,1303,0.798585
492,601,0.798589
943,1052,0.798595
62,171,0.798595
910,1019,0.798615
1305,1414,0.798645
1113,1222,0.798651
150,259,0.798660
295,404,0.798666
1282,1391,0.798673
979,1088,0.798674
644,753,0.798692
1290,1399,0.798696
1460,1569,0.798697
694,803,0.798700
393,502,0.798706
1281,1390,0.798726
601,710,0.798749
1328,1437,0.798779
1473,1582,0.798780
80,189,0.798802
1109,1218,0.798802
336,445,0.798803
9,1483,0.798822
568,677,0.798823
17,126,0.798824
72,181,0.798828
1472,1581,0.798833
1372,1481,0.798835
394,503,0.798858
1311,1420,0.798872
247,356,0.798879
440,571,0.798917
260,369,0.798921
1409,1518,0.798924
16,1490,0.798924
1117,1226,0.798931
94,203,0.798932
1363,1472,0.798942
187,296,0.798950
62,1536,0.798951
254,363,0.798953
812,921,0.798979
32,141,0.798979
827,936,0.798982
887,996,0.799008
446,555,0.799013
967,1076,0.799021
392,501,0.799023
743,852,0.799028
120,229,0.799047
1353,1462,0.799056
1023,1132,0.799081
856,965,0.799096
465,574,0.799099
68,1542,0.799101
1354,1463,0.799128
1027,1136,0.799130
518,627,0.799131
1174,1283,0.799141
1127,1236,0.799159
352,483,0.799166
1321,1430,0.799167
28,137,0.799172
1176,1285,0.799177
564,673,0.799182
401,510,0.799184
824,933,0.799202
1272,1381,0.799205
823,932,0.799210
417,526,0.799229
1399,1508,0.799232
